ts,Valve,Occp,RaHumidity,RaTemp,SaTemp,ThermEnergy,main_temp,main_humidity,wind_speed,clouds_all,hour,minute,dayofweek,month,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,delta_supply_return,delta_outdoor_indoor,delta_humidity,Valve_lag_1,RaTemp_lag_1,SaTemp_lag_1,RaHumidity_lag_1,RaTemp_diff_1,RaTemp_pct_1,ThermEnergy_diff_1,Valve_change_1
2024-09-11 06:50:00,60.882812,1,76.9094,20.0,18.7,7.644551358,19.9,76.0,0.6,0.0,6,50,2,9,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-1.3000000000000007,-0.10000000000000142,-0.9094000000000051,46.257812,20.2,20.1,77.97841,-0.1999999999999993,-0.00990099009900991,2.1398278040000003,14.625
2024-09-11 06:55:00,61.632812,1,76.75936,21.2,18.2,7.357560662,19.9,76.0,0.6,0.0,6,55,2,9,0,1.0,6.123233995736766e-17,-0.49999999999999967,0.8660254037844388,-3.0,-1.3000000000000007,-0.7593600000000009,60.882812,20.0,18.7,76.9094,1.1999999999999993,0.06000000000000005,-0.28699069600000016,0.75
2024-09-11 07:00:00,58.703125,1,76.8594,19.6,17.6,7.023177201,19.9,75.0,1.2,0.0,7,0,2,9,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,-2.0,0.29999999999999716,-1.8593999999999937,61.632812,21.2,18.2,76.75936,-1.5999999999999979,-0.07547169811320742,-0.3343834609999998,-2.9296870000000013
2024-09-11 07:05:00,62.4375,1,76.95942,21.2,18.1,7.967273896,19.9,75.0,1.2,0.0,7,5,2,9,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-3.099999999999998,-1.3000000000000007,-1.9594199999999944,58.703125,19.6,17.6,76.8594,1.5999999999999979,0.08163265306122436,0.9440966949999998,3.734375
2024-09-11 07:10:00,57.1875,1,77.05944,21.2,17.300001,7.023177201,19.9,75.0,1.2,0.0,7,10,2,9,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,-3.8999989999999976,-1.3000000000000007,-2.059439999999995,62.4375,21.2,18.1,76.95942,0.0,0.0,-0.9440966949999998,-5.25
2024-09-11 07:15:00,0.0,0,78.00342,21.300001,17.6,0.0,19.9,76.0,1.2,0.0,7,15,2,9,0,0.9659258262890683,-0.25881904510252063,1.0,2.83276944882399e-16,-3.7000010000000003,-1.4000010000000032,-2.0034200000000055,57.1875,21.2,17.300001,77.05944,0.10000100000000245,0.004717028301886916,-7.023177201,-57.1875
2024-09-11 07:20:00,0.0,0,77.87839,20.4,19.0,0.0,19.9,76.0,1.2,0.0,7,20,2,9,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-1.3999999999999986,-0.5,-1.878389999999996,0.0,21.300001,17.6,78.00342,-0.9000010000000032,-0.04225356609138198,0.0,0.0
2024-09-11 07:25:00,0.0,0,77.23135,20.1,18.7,0.0,18.4,80.0,1.2,0.0,7,25,2,9,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,-1.4000000000000021,-1.7000000000000028,2.768649999999994,0.0,20.4,19.0,77.87839,-0.29999999999999716,-0.014705882352941013,0.0,0.0
2024-09-11 07:30:00,0.0,0,76.98443,21.0,18.9,0.0,18.4,80.0,1.2,0.0,7,30,2,9,0,0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0,-2.1000000000000014,-2.6000000000000014,3.0155699999999968,0.0,20.1,18.7,77.23135,0.8999999999999986,0.04477611940298498,0.0,0.0
2024-09-11 07:35:00,0.0,0,76.83439,20.9,18.9,0.0,18.9,78.0,0.5,0.0,7,35,2,9,0,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,-2.0,-2.0,1.165610000000001,0.0,21.0,18.9,76.98443,-0.10000000000000142,-0.004761904761904856,0.0,0.0
